,hq
156,0.5059238244283257
157,0.5062187366914412
158,0.5067322622336017
159,0.5071219777915335
160,0.5074715519651332
161,0.5075463530733445
162,0.5075064495615995
163,0.5064125934521246
164,0.5055532484485484
165,0.5044056170679876
166,0.5025435490478694
167,0.500499237066917
168,0.4989145693724268
169,0.4971718881479629
170,0.4962507656631891
171,0.494927270205446
172,0.494176531136229
173,0.4927721518405445
174,0.4920205803796433
175,0.4914950561140721
176,0.4919835793945042
177,0.4914561598417952
178,0.4910663685415197
179,0.49170941316400874
180,0.49360377514995446
181,0.4951840792919904
182,0.4964141478886201
183,0.4968853196409956
184,0.4982847355659424
185,0.5003579001750191
186,0.5031443079745349
187,0.5065538947342527
188,0.5116453352705964
189,0.5165934291856809
190,0.5231315309660688
191,0.5292307761074784
192,0.5339489934364096
193,0.537796142567202
194,0.5431551810895834
195,0.5452707834495796
196,0.5471160483218099
197,0.5478888360054669
198,0.5495860277706642
199,0.5516716572535496
200,0.5541747886163577
201,0.5565246318229389
202,0.5582332226448484
203,0.5608720384768717
204,0.5637108629590513
205,0.5649628194537805
206,0.5653271623803224
207,0.5652374035474814
208,0.5658388675463352
209,0.5669135733832503
210,0.567489219464461
211,0.5657370967631574
212,0.5637732774326255
213,0.5609217044131706
214,0.5587537819973978
215,0.555590871128074
216,0.5496758694453232
217,0.5435325962098877
218,0.540282795616622
219,0.5354144465018151
220,0.5316916925327881
221,0.528201902785471
222,0.5256166564159139
223,0.5245440638888899
224,0.5247142840536476
225,0.5213528565073245
226,0.5197640562708413
227,0.5180924623611999
228,0.51776715378975
229,0.5173630028199455
230,0.5189769831360028
231,0.519303600134982
232,0.5190304663868405
233,0.5192654462749052
234,0.5199483996564789
235,0.5183338482853039
236,0.5180232520385278
237,0.5162859964208318
238,0.5153425282307422
239,0.5159889089504066
240,0.5168492076691729
241,0.5191402874251065
242,0.519997705899728
243,0.521679827369597
244,0.5241907034615678
245,0.5257424323743591
246,0.5261768292500313
247,0.5271425607128187
248,0.5310422139278771
249,0.53398239640099
250,0.5365793174725089
251,0.5408839946055346
252,0.5456870334901961
253,0.5516230192835909
254,0.5556140862375907
255,0.5587164834631744
256,0.561686925701522
257,0.5650889351035407
258,0.5706360739995457
259,0.5751330141246154
260,0.5779973440574159
261,0.5806826984557121
262,0.5841877261006322
263,0.5880792988529043
264,0.591656810567878
265,0.5942913777583443
266,0.5964052344090937
267,0.5987045634097738
268,0.6009761365598875
269,0.6026531002245391
270,0.6043248861803621
271,0.603631376139618
272,0.6051515000048878
273,0.6085962092027168
274,0.6108899948375522
275,0.6110454671935953
276,0.6126022656742764
277,0.614067195560287
278,0.6173488531742481
279,0.6201814418337224
280,0.621991933052655
281,0.6214096380108726
282,0.62351305582888
283,0.6259722327285016
284,0.6273555206220315
285,0.6291258846061354
286,0.6318661301834778
287,0.6345264899850062
288,0.6398203276568653
289,0.6435854972165416
290,0.6459559804608985
291,0.6442575306505524
292,0.6472601740514466
293,0.6490075963257057
294,0.651094106792604
295,0.6541127803427449
296,0.6590772688032412
297,0.6629972601486609
298,0.6672173010309251
299,0.6694579251785403
300,0.6708258331406685
301,0.670309231738613
302,0.672736603555659
303,0.6745016417305446
304,0.6766257054809985
305,0.6802075658027896
306,0.6840715797059786
307,0.6846928427391367
308,0.6845480603994
309,0.6828775918066129
310,0.6800822084760347
311,0.6763591017715107
312,0.672201926316089
313,0.6696151433178095
314,0.6657159612016472
315,0.6546897214165707
316,0.6442033496845521
317,0.632838750378416
318,0.6214315370909823
319,0.6033829450245594
320,0.5786251679668694
321,0.56012852052885
322,0.5471262648853504
323,0.5365270329970254
324,0.5259369003961492
325,0.5163695559922077
326,0.5094437435307516
327,0.5026950695869061
328,0.4966051036793263
329,0.4892689643440107
330,0.4825162460444859
331,0.4751111630655518
332,0.4702308264977093
333,0.46544067992494903
334,0.46120055284768624
335,0.45823862788307634
336,0.45418907768737327
337,0.4503463136470184
338,0.4465318052027268
339,0.4425969195626363
340,0.43886384238308623
341,0.4358393075922121
342,0.4340203353139252
343,0.4321365736008652
344,0.4302168756600388
345,0.42831675166113525
346,0.4260322099654167
